Unnamed, 0,Name,Price,Link,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Bộ nhớ trong,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Tần số quét,Kiểu màn hình,Quay video,Tính năng camera,Quay video trước,GPU,GPS,Kích thước,Trọng lượng,Công nghệ sạc,Cổng sạc,"Chỉ số kháng nước, bụi",Các loại cảm biến,Tính năng đặc biệt,Wi-Fi,Bluetooth,Thời điểm ra mắt,Dung lượng RAM,Pin,Hồng ngoại,Hỗ trợ mạng,Cảm biến vân tay,Chất liệu mặt lưng,Chất liệu khung viền,Công nghệ - Tiện ích,Tương thích,Jack tai nghe 3.5,Tiện ích khác,Công nghệ âm thanh,Khe cắm thẻ nhớ,Hệ thống làm mát,Cảm biến,Loại màn hình
65,65,Nubia Neo 5 5G 8GB 256GB,7.990.000đ,https://cellphones.com.vn/dien-thoai-nubia-neo-5-5g-8gb-256gb.html,6.8 inches,,50MP AF + 2MP,16MP FF,Unisoc T9300,Có,256 GB,2 Nano-SIM,MyOS 16 (Dựa trên Android 16),,Độ phân giải màn hình: 1940 × 900pixelsĐộ sáng 1000 nits,Octa-core 2.4GHz,120Hz,Đục lỗ (Nốt ruồi),,,,,,,,Sạc nhanh 45W,USB Type-C,IP64,"Cảm biến gia tốc,Con quay hồi chuyển",Hỗ trợ 5G,"WiFi 2.4G/5G, 802.11 a/b/g/n/ac",5.4,,8 GB,6050mAh,,5G,Cảm biến vân tay cạnh bên,,,"Neo Triggers 5.0, Magic Touch 3.0, NeoTurbo Engine, AI Copilot Demi 2.0, Live Island",,,,"Loa kép stereo, DTS:X Ultra",,,,
66,66,Nothing Phone 2A Plus 5G 12GB 256GB,8.290.000đ,https://cellphones.com.vn/dien-thoai-nothing-phone-2a-plus.html,6.7 inches,Flexible AMOLED On-cell,"Camera chính: 50 MP, f/1.88, 1/1.57""Camera góc siêu rộng: 50 MP, f/2.2, 1/2.76""","50 MP, f/2.2, 1/2.76""",MediaTek Dimensity 7350 Pro 5G,Có,256 GB,2 SIM (Nano-SIM),Android 14,1080 x 2412 pixels,"1300 nits120 Hz, 1,07 tỷ màu",Up to 3.0 GHz,120Hz,Đục lỗ (Nốt ruồi),4K@30fps1080p@60/120fps,,,ARM Mali G610 MC4,"GPS (L1), GLONASS (G1), BDS (B1I), GALILEO (E1), QZSS (L1)",161.7 x 76.3 x 8.5 mm,190 g,Sạc nhanh 50W,USB Type-C,IP54,,"Hỗ trợ 5G, Kháng nước, kháng bụi",802.11 a/b/g/n/ac or ax (Wi-Fi 6)2.4 GHz / 5 GHz,v5.3,,12 GB,5000 mAh,,5G,,,,,,,,,,,,
67,67,TECNO Spark 40 Pro+ 8GB 256GB,4.890.000đ,https://cellphones.com.vn/dien-thoai-tecno-spark-40-pro-plus.html,6.78 inches,AMOLED,50 MP,13 MP,MediaTek Helio G200,,256 GB,2 SIM (Nano-SIM),Android 15,,1224 x 2720 pixels6.78'' 144Hz & 1.5K 3D AMOLED Display,,Từ 144Hz trở lên,,Full HD 1080p - 30 fps,Camera sau 50 MP có hỗ trợ EIS (chống rung điện tử)Chế độ Super Night ModeChân dung,,,,163.9 x 75.8 x 6.49 mm,160g,,USB Type-C,IP64,"Cảm biến gia tốc,Cảm biến tiệm cận,La bàn","Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",b/g/n/ac (2.4GHz & 5GHz),Có,,8 GB,"5200mAh, 45W",,4G,Cảm biến vân tay dưới màn hình,Nhựa,Nhựa,"Chuẩn kháng bụi, nước IP64Sạc nhanh 45W, sạc không dây 30W, sạc ngược 5WĐiều khiển hồng ngoạiFM Radio, loa kép",,,"FM Radio, loa kép, AI hỗ trợ (AI Eraser 2.0, Ask Ella, AI Writing), khử ồn AI","Dolby Atmos, Dual Speakers",microSDXC,,,
68,68,Xiaomi Redmi Note 15 Pro 5G 12GB 256GB,11.490.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-15-pro-5g.html,6.83 inches,AMOLED,"Camera chính: 200MP, OIS, f/1.7Camera góc siêu rộng: 8MP, f/2.2","20MP, f/2.2",MediaTek Dimensity 7400-Ultra,Có,256 GB,2 Nano SIM hoặc 1 Nano + 1 eSIM,Xiaomi HyperOS 2,2772 x 1280 pixels,"Tần số quét: lên đến 120HzDCI-P3 rộng, độ sâu màu 12-bitPWM dimming 3840HzĐộ sáng: 3200 nits1800 nits (HBM)Tỷ lệ tương phản: 8,000,000:1Điều chỉnh độ sáng tự động 16,000 cấp",8 nhân lên đến 2.6 GHz,120Hz,Đục lỗ (Nốt ruồi),"4K ở 30 fps1080p ở 30/60 fps,br>720p ở 30 fps",,1080p ở 30/60 fps720p ở 30 fps,Mali-G615,"GPS, GLONASS, BDS, Galileo, QZSS",163.61 x 78.09 x 7.96mm,210g,Turbo Fast Charge 45W,USB Type-C,"IP66, IP68, IP69, IP69K","Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi-Fi 802.11a/b/g/n/ac/ax (2.4GHz & 5GHz),Bluetooth 5.4,,12 GB,6580mAh(typ),Có,5G,Cảm biến vân tay trong màn hình,,,,,,,"Tăng âm lượng 400%, Loa kép, Dolby Atmos, Hi-Res audio",,,,
69,69,iPhone 16e 256GB | Chính hãng VN/A,14.690.000đ,https://cellphones.com.vn/iphone-16e-256gb.html,6.1 inches,Super Retina XDR,"Hệ thống camera 2 trong 1Fusion 48MP: 26 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels, ảnh có độ phân giải siêu cao (24MP và 48MP)Đồng thời hỗ trợ Telephoto 2x 12MP: 52 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels",Camera 12MP Khẩu độ ƒ/1.9Camera TrueDepth hỗ trợ nhận diện khuôn mặt,Chip A18,Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2532 x 1170 pixels,Màn hình HDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1 (tiêu chuẩn)Độ sáng tối đa 800 nit (tiêu chuẩn); độ sáng đỉnh 1200 nit (HDR)Lớp phủ kháng dầu chống in dấu vân tayThu Phóng Màn Hình,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,Tai thỏ,"Quay video 4K Dolby Vision ở tốc độ 24 fps, 25 fps, 30 fps hoặc 60 fpsHỗ trợ quay video chậm 1080p ở tốc độ 120 fps hoặc 240 fpsChế độ quay video QuickTakeChống rung quang học cho videoVideo tự động lấy nét liên tiếp",Độ thu phóng kỹ thuật số lên đến 10xLớp bảo vệ ống kính bằng sapphireFlash True ToneHDR thông minh thế hệ 5Chế độ chụp Chân Dung với tính năng Điều Khiển Chiều SâuChụp ảnh toàn cảnh Panorama (lên đến 63MP)Deep Fusion,,GPU 4 lõi mớiNeural Engine 16 lõi mới,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavICLa bàn kỹ thuật sốMạng di độngĐịnh vị vi mô iBeacon",Rộng: 71.5 mm - Cao: 146.7 mm - Dày: 7.80 mm,167 gram,Khả năng sạc nhanh Sạc lên đến 50% trong 30 phút với bộ tiếp hợp 20W trở lên (được bán riêng),USB Type-C,Đạt mức IP68 (chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút) theo tiêu chuẩn IEC 60529,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi‑Fi 6 (802.11ax) với 2x2 MIMO,Bluetooth 5.3,02/2025,,Thời gian xem video Lên đến 26 giờThời gian xem video (trực tuyến) Lên đến 21 giờThời gian nghe nhạc Lên đến 90 giờ,,5G,Không,,,"Thanh toán qua iPhone tại các cửa hàng, bên trong các ứng dụng và trên các trang web bằng cách sử dụng Face IDSOS Khẩn CấpPhát Hiện Va Chạm",Sạc USB-CSạc không dây (tương thích sạc không dây Qi lên đến 7.5W),Không,"Tương Thích Với Thiết Bị Trợ ThínhAirPlay có thể phản chiếu màn hình, ảnh và video có độ phân giải lên đến 4K HDR lên Apple TV (thế hệ thứ 2 trở lên) hoặc TV thông minh có hỗ trợ AirPlay","Các định dạng được hỗ trợ bao gồm AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus, và Dolby AtmosChế độ Âm Thanh Không GianLoa stereo tích hợp sẵnMicrô tích hợp sẵn",Không,,,
70,70,Samsung Galaxy S26 Ultra 12GB 512GB,36.990.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-ultra-12gb-512gb.html,6.9 inches,Dynamic AMOLED 2X,Camera siêu rộng: 50MPCamera góc rộng: 200MPCamera Tele (5x): 50MPCamera Tele (3x): 10MP,12MP,Snapdragon 8 Elite Gen 5 dành cho Galaxy (3nm),Có,512 GB,2 Nano-SIM + eSIM,,3120 x 1440 pixels (Quad HD+),Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits,,120Hz,Đục lỗ (Nốt ruồi),,Zoom quang học 100xKhoá Đường Chân Trời chuẩn điện ảnh (Horizontal Lock)Quay Log VideoChế độ quay phim 10-bit HDRChế độ Chân dungTự động lấy nétQuay Video đêm,,,Có,163.6 x 78.1 x 7.9mm,214g,Hỗ trợ sạc tối đa 60W,USB Type-C,,,"Hỗ trợ 5G, Bảo mật vân tay, Kháng nước, kháng bụi, Điện thoại AI",Có,Có,03/2026,12 GB,5000 mAh,,5G,Cảm biến vân tay dưới màn hình,Kính,Nhôm,Privacy Display (Chống nhìn trộm chủ động)Chỉnh sửa ảnh thế hệ mớiKhông gian sáng tạoGợi ý thông minhKhoanh tròn để tìm kiếmLọc cuộc gọi tự độngProscaler & 10-bit mDNIe,,,,,,,,
71,71,Nubia Neo 3 4G 8GB 128GB,4.790.000đ,https://cellphones.com.vn/dien-thoai-nubia-neo-3-4g.html,6.8 inches,,50MP + 2MP,16MP,Unisoc T8100,Có,128 GB,2 Nano-SIM,,,Độ phân giải màn hình: 900 x 2030 pixel (FHD)Tần số: 120HzĐộ sáng: 530 nits16.7 tỷ màuIPS,Octa-Core (4*Cortex-A76 @ 2.2GHz + 4*Cortex-A55 @2.0GHz),,,,"AI Super Night, Chụp ảnh nhanh AI Sport, AI HDR, chỉnh sửa AI Magic, Cảm biến CMOS, Tự động lấy nét",,G57@4C 650MHz,GPS/AGPS/GLONASS/Galileo,168.3 x 76.5 x 8.3mm,,Sạc nhanh 33W,,IP54,"Cảm biến gia tốc,Cảm biến tiệm cận,Con quay hồi chuyển",,"802.11a/b/g/n/ac, 2.4GHz & 5 GHz",BT5.2,,8 GB,6000mAh,,4G,Cảm biến vân tay cạnh bên,,,,,,"AI Game Space 3.0, AI Gaming Companion, AI Trigger, AI Behavioral Learning, AI Real-time Translate, AI Conversation Transtate",Loa stereo kép với DTS:X Ultra,,,,
72,72,Xiaomi 15 Ultra 5G 16GB 512GB,26.990.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-15-ultra.html,6.73 inches,AMOLED,"Camera chính Leica: 50MP, ƒ/1.63, OISCamera tele Leica: 50MP, ƒ/1.8, OISCamera siêu tele Leica: 200MP, ƒ/2.6, OISCamera góc siêu rộng Leica: 50MP, ƒ/2.2, 115° FOV","Camera trước: 32MP, ƒ/2.0, 90° FOVCảm biến OV32BTiêu cự 21mm",Snapdragon 8 Elite (Tiến trình sản xuất 3nm),Có,512 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,Xiaomi HyperOS 2,3200 x 1440 pixel,"68 tỷ màuTần số quét 1-120HzTốc độ phản hồi cảm ứng 300HzĐộ sáng tối đa 3200 nits trong nhiều tình huốngĐiều chỉnh độ sáng PWM 1920Hz/DC dimmingOriginal color PRO | Pro HDR | Công nghệ cảm ứng khi ướtHDR10+, Dolby Vision","2 x Lõi Prime, tốc độ tối đa 4,32GHz6 x Lõi hiệu suất, lên đến 3,53GHz",120Hz,Đục lỗ (Nốt ruồi),"8K@30fps, 4K@30/60/120fps, 1080p@30/60fps720p@30 fpsQuay chuyển động chậm 720pQuay chuyển động chậm 1080p",Xiaomi ProFocusThu phóng kỹ thuật số lên đến 120xHDRChụp ảnh độngSuper macroToàn cảnhĐịnh dạng video logQuay đêm Ultra Night VideoChuyển động chậmChuyển động nhanhQuay video trong Dolby Vision,"4K@30/60 fps, HD 1080p@ 30/60fps720p@30fps",Adreno GPU,GPS: L1+L5Galileo: E1+E5a | GLONASS: G1 | Beidou | QZSS: L1 + L5 | NavIC: L5,"161.3 x 75.3 x 9.35mm (Đen, Trắng)(Bạc Chrome): 161.3 x 75.3 x 9.48mm","226g (Đen, Trắng) và 229g (Bạc Chrome)",Sạc nhanh 90WSạc không dây 80WHỗ trợ QC3+ / QC3.0 / QC2.0 / PD3.0 / PD2.0 / MI FC 2.0,USB Type-C,Kháng nước & bụi IP68,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Hỗ trợ Wi-Fi 7,Bluetooth 6.0,,16 GB,5410mAh,,5G,Cảm biến vân tay siêu âm,,Nhôm,Xiaomi HyperAIViết AIPhiên dịch AIPhiên dịch AINhận diện giọng nói AITrợ lý sáng tạo AIKhoanh tròn để tìm kiếm bằng Google,,,,Dolby AtmosHi-Res & Hi-Res Audio Wireless certification4-Mic array,,Hệ thống làm mát kép IceLoop 3D,,
73,73,Samsung Galaxy S25 Plus 256GB,20.490.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-plus.html,6.7 inches,Dynamic AMOLED 2X,Camera siêu rộng 12MPCamera góc rộng 50MPCamera Tele 10MP,12MP,Snapdragon 8 Elite dành cho Galaxy (3nm),Có,256 GB,2 Nano-SIM + eSIM,,3120 x 1440 pixels (Quad HD+),120Hz2600 nitsCorning® Gorilla® Armor 2,"Tốc độ CPU: 4.47GHz, 3.5GHz8 nhân",120Hz,,,Quay Log VideoChụp hình Super HDRChế độ quay phim 10-bit HDRChân dungTự động lấy nétQuay Video đêm,,,"GPS, Glonass, Beidou, Galileo, QZSS",Dài 158.4mm - Ngang 75.8mm - Dày 7.3mm,190g,Sạc nhanh 45WSuper Fast Charging 2.0*Fast Wireless Charging 2.0Wireless PowerShare,USB Type-C,IP68,,"Hỗ trợ 5G, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI","802.11a/b/g/n/ac/ax/be 2.4GHz+5GHz+6GHz, EHT320, MIMO, 4096-QAM",Bluetooth v5.4,02-2025,12 GB,4900 mAh,,5G,Cảm biến vân tay trong màn hình,,,Thực hiện tác vụ liên ứng dụng bằng lời nói (Seamless Actions across Apps),,,Biên tập Video thông minh (Auto trim)Khoanh tròn để tìm kiếm (Circle to Search)Trợ lý cuộc gọi (Call Assist)Trợ lý chỉnh ảnh (Photo Assist),Lọc âm thanh (Audio Eraser),,,,
74,74,iPhone Air 1TB | Chính hãng,33.990.000đ,https://cellphones.com.vn/iphone-air-1tb.html,6.5 inches,Super Retina XDR,48MP Fusion Main f/1.6,18MP Center Stage f/1.6,Chip A19 Pro,Có,1 TB,2 eSIM,iOS 26,2736 x 1260 pixels,"Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi",6 lõi (2 hiệu năng + 4 tiết kiệm điện),120Hz,Dynamic Island,4K Dolby Vision 60 fpsCinematic 4K30Action Mode 2.8K60Slow-motion 1080p240QuickTake 4K60 HDR,"Chống rung quang học (OIS)Zoom quang học 1x, 2xĐèn Flash True TonePhotonic EngineDeep FusionSmart HDR 5Ảnh chân dungÁnh sáng chân dung (6 chế độ)Chụp đêmPhong cách nhiếp ảnh thế hệ mới",4K Dolby Vision 60 fpsGhi hình képCinematic ModeQuickTake 4K60 HDR,GPU 5 lõi với Neural Accelerator,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",156.2 × 74.7 × 5.6 mm,165 g,Sạc không dây MagSafe 20WSạc không dây Qi2 20W,USB Type-C,IP68Chống nước tối đa 6m trong 30 phút,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi‑Fi 7,Bluetooth 6,09/2025,,Xem video: 27 giờXem video trực tuyến: 22 giờ,Không,5G,Không,Kính,Titanium,Apple IntelligenceSiri mớiNút tác vụSOS khẩn cấpPhát hiện va chạmFace ID,,Không,FaceTime HD 1080pSharePlayAirPlay 4K HDR,Âm thanh không gianThu âm stereo,,,,
75,75,OPPO A6 Pro 8GB 256GB,9.290.000đ,https://cellphones.com.vn/dien-thoai-oppo-a6-pro.html,6.57 inches,AMOLED,"50MP (Chính, f/1.8) + 2MP (Mono, f/2.4), có đèn flash","16MP, f/2.4","MediaTek Helio G100, tối đa 2.2GHz",Có,256 GB,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),ColorOS 15 (Android 15),1080 x 2372 pixels (FullHD+),"1 tỷ màu, Độ sáng tối đa 1400 nits","8 nhân, tối đa 2.2GHz",120Hz,Đục lỗ (Nốt ruồi),,"Chế độ chân dung, HDR, AI",,ARM G57 MC2@1G,"GPS, GLONASS, BDS, Galileo, QZSS",158.2 x 75.02 x 8 mm,~188g (bao gồm pin),Siêu sạc nhanh SuperVOOC 80W,USB Type-C,"IP66, IP68, IP69","Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn","Bảo mật vân tay, Kháng nước, kháng bụi, Điện thoại AI","2.4G/5G, 802.11 a/b/g/n/ac",5.4 BLE,,8 GB,7000mAh,,4G,Cảm biến vân tay dưới màn hình,Thuỷ tinh hữu cơ,Nhựa,,,,,"Loa kép, micro kép",Hỗ trợ thẻ nhớ tối đa 2TB,,,
76,76,Nubia Neo 5 GT 12GB 256GB,9.990.000đ,https://cellphones.com.vn/dien-thoai-nubia-neo-5-gt-12gb-256gb.html,6.8 inches,AMOLED,50MP AF + 2MP,16MP FF,MediaTek D7400,Có,256 GB,2 Nano-SIM + eSIM,MyOS 16 (dựa trên Android 16),,Độ phân giải màn hình 1.5KĐộ sáng 4500 nits,Octa-core 2.6GHz,Từ 144Hz trở lên,Đục lỗ (Nốt ruồi),,,,,,,,Sạc nhanh 80W,USB Type-C,,"Cảm biến gia tốc,Con quay hồi chuyển",Hỗ trợ 5G,"Wi-Fi 2.4G/5G/6G, 802.11 a/b/g/n/ac/ax",v6.0,04/2026,12 GB,6210mAh,,5G,Cảm biến vân tay dưới màn hình,,,"Shoulder Triggers, Live Island",,,,"Loa kép stereo, DTS:X Ultra",,,,
77,77,Samsung Galaxy S25 256GB,17.490.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25.html,6.2 inches,Dynamic AMOLED 2X,Camera siêu rộng 12MPCamera góc rộng 50MPCamera Tele 10MP,12MP,Snapdragon 8 Elite dành cho Galaxy (3nm),Có,256 GB,2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM,,2340 x 1080-pixel,120Hz2600 nitsCorning® Gorilla® Armor 2,"Tốc độ CPU 4.47GHz, 3.5GHz8 nhân",120Hz,,,Quay Log VideoChụp hình Super HDRChế độ quay phim 10-bit HDRChân dungTự động lấy nétQuay Video đêm,,,"GPS, Glonass, Beidou, Galileo, QZSS",Dài 146.9mm - Ngang 70.5mm - Dày 7.2mm,162g,Sạc nhanh 25W,USB Type-C,IP68,,"Hỗ trợ 5G, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI","802.11a/b/g/n/ac/ax/be 2.4GHz+5GHz+6GHz, EHT320, MIMO, 4096-QAM",Bluetooth v5.4,02-2025,12 GB,4000 mAh,,5G,Cảm biến vân tay trong màn hình,,,Thực hiện tác vụ liên ứng dụng bằng lời nói (Seamless Actions across Apps),,,Biên tập Video thông minh (Auto trim)Khoanh tròn để tìm kiếm (Circle to Search)Trợ lý cuộc gọi (Call Assist)Trợ lý chỉnh ảnh (Photo Assist),Lọc âm thanh (Audio Eraser),,,,
78,78,Xiaomi 15 5G 12GB 256GB,18.490.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-15.html,6.36 inches,CrystalRes AMOLED,"Camera chính Leica: 50MP, ƒ/1.62, OIS, Tiêu cự tương đương 23mmCamera tele Leica: 50MP, ƒ/2.0, OISCamera góc siêu rộng Leica: 50MP, ƒ/2.2, 115°","Camera trước: 32MP, ƒ/2.0, 90°,  Tiêu cự 21mm",Snapdragon 8 Elite (Tiến trình sản xuất 3nm),Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,Xiaomi HyperOS 2,2670 x 1200 pixels,"Độ sáng 3200 nitsTự động tinh chỉnh tần số quét 1-120HzTốc độ phản hồi cảm ứng lên đến 300HzHỗ trợ 68 tỷ màuDải màu DCI-P3Hỗ trợ Dolby Vision, HDR10+, HDR10Độ sáng DCCông nghệ cảm ứng ướt","2 x Lõi Prime, tốc độ tối đa 4,32GHz6 x Lõi hiệu suất, lên đến 3,53GHz",120Hz,Đục lỗ (Nốt ruồi),(HDR và Dolby Vision)Quay video 8K@24/30fpsQuay video 4K@24/30/60fps1080p@30/60fps720p@30fpsVideo chuyển động chậm 720pVideo chuyển động chậm 1080p,HDRChụp ảnh độngChế độ ban đêmChế độ chân dungSuper macroToàn cảnhChuyển động chậmChuyển động nhanhQuay đêm Ultra Night VideoChụp ảnh bằng giọng nóiQuay video ở độ phân giải HDR10+,4K@30/60fps1080p@30/60fps720p@30fps,Adreno GPU,GPS: L1+L5Galileo: E1+E5a | GLONASS: G1 | Beidou | QZSS: L1 + L5 | NavIC: L5,152.3 x 71.2 x 8.08 mm,191g,Sạc 90W HyperChargeSạc không dây 50WHỗ trợ QC3+ / QC3.0 / QC2.0 / PD3.0 / PD2.0 / MI FC 2.0,USB Type-C,Kháng nước & bụi chuẩn IP68,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Hỗ trợ Wi-Fi 7,"Bluetooth 6.0, Dual-Bluetooth",2025,12 GB,5240mAh,,5G,Cảm biến vân tay siêu âm,,Nhôm,Xiaomi HyperAIViết AINhận diện giọng nói AIPhiên dịch AIKhoanh vùng tìm kiếm AITrợ lý sáng tạo AI,,,,"4 MicHỗ trợ Dolby AtmosChứng nhận Hi-Res, Hi-Res Audio Wireless",,Hệ thống cánh tản nhiệt Xiaomi IceLoop,,
79,79,Xiaomi Redmi 15 5G 8GB 256GB,6.190.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-15-5g-8gb-256gb.html,6.9 inches,IPS LCD,"50MP, Ống kính -5P, f/1.8",8MP f/2.05,Snapdragon® 6s Gen 3,Có,256 GB,2 SIM (Nano-SIM),Xiaomi HyperOS 2,2340 x 1080-pixel,"Độ sáng 700 nits850 nits (HBM)Tỉ lệ tương phản 1400:1Cảm ứng 288HzĐạt chứng nhận TÜV Rheinland: Giảm ánh sáng xanh, Không nhấp nháy, Thân thiện nhịp sinh học","Kryo, up to 2.3GHz",Từ 144Hz trở lên,Đục lỗ (Nốt ruồi),1080p@30fps720p@30fps,HDRChụp đêmChụp chân dungTime-lapseChế độ phimVòng sáng mềm,,Adreno,"GPS, Glonass, Galileo, Beidou",169.48 × 80.45 × 8.4 mm,217g,Sạc nhanh 33W,USB Type-C,IP64,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",2.4GHz / 5GHz,"v5.4 (hỗ trợ AAC, SBC, LDAC)",,8 GB,7000mAh,,5G,Cảm biến vân tay cạnh bên,,,,,,,"Hi-Res Audio, Dolby Atmos®",MicroSD tối đa 2TB,,,
80,80,OPPO Find X9 Pro 16GB 512GB,32.990.000đ,https://cellphones.com.vn/dien-thoai-oppo-find-x9-pro.html,6.78 inches,AMOLED,50MP OIS (Chính) + 200MP OIS (Tele) + 50MP (Góc rộng) + 2MP (Mono),50MP; f/2.0; FOV 90°; Ống kính 5P; Hỗ trợ lấy nét AF,Dimensity 9500 5G,Có,512 GB,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,"ColorOS 16, nền tảng Android 16",,"Độ phân giải: 1272 x 2772 (1.5K+), 120Hz refresh rate, 240Hz touch sampling, 1.07 tỷ màu (10-bit), 100% DCI-P3, 800 nits, HBM 1800 nits, Gorilla Glass Victus 2",8 nhân,120Hz,Đục lỗ (Nốt ruồi),"4K 120/60/30fps, 1080P 120/60/30fps, 720P 30fps, SLO-MO 4K 120fps, 1080P 240/120fps, 720P 480/240fps","Chân dung, ban đêm, PRO, PANO, toàn cảnh, chuyển động chậm, HDR, chế độ xem kép, Hasselblad Hi-Res, chụp dưới nước, Google Lens, Doc Scanner","4K 60/30fps, 1080P 60/30fps, 720P 30fps",Arm Mali Drage MC12,"GPS, GLONASS, BDS, Galileo, QZSS, NavlC",161.26 x 76.46 x 8.25 mm,224g,Siêu sạc nhanh superVOOC 80WSạc không dây 50W,USB Type-C,"IP66, IP68, IP69","Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Kháng nước, kháng bụi","Wifi 6, Wifi 2.4G/5G, 802.11 a/b/g/n/ac/ax",v6.0,10/2025,16 GB,7500mAh,Có,5G,Cảm biến vân tay dưới màn hình,Kính,Nhôm,,,,,,,,,
81,81,Xiaomi Redmi Note 15 5G 6GB 128GB,6.990.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-15-5g.html,6.77 inches,AMOLED,Camera chính 108MP ƒ/1.7 OIS + Camera siêu rộng 8MP ƒ/2.2,20MP ƒ/2.2,Snapdragon® 6 Gen 3,,128 GB,,Xiaomi HyperOS 2,1080 x 2392 pixels,"Độ sáng tối đa 3200 nits, 12-bit, DCI-P3, PWM 3840Hz, chứng nhận TÜV Rheinland",,120Hz,,"4K 30fps, 1080P 30fps, 720P 30fps","OIS, zoom quang học 3x, tiêu cự tương đương 23/28/35/72mm",,,,164 × 75.42 × 7.35 mm / 7.40 mm,178g,Sạc nhanh Turbo 45W,USB Type-C,IP66,,"Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",2.4GHz / 5GHz,,01/2026,6 GB,5520mAh,,5G,,,,"AI Google Gemini, Khoanh tròn tìm kiếm Google, Công cụ chỉnh sửa ảnh AI",,,,"Dolby Atmos, Hi-Res",,,,
